"day","month","year","season","date"
29,9,2004,"fall",2004-09-29
15,10,2004,"fall",2004-10-15
31,10,2004,"fall",2004-10-31
16,11,2004,"fall",2004-11-16
2,12,2004,"winter",2004-12-02
18,12,2004,"winter",2004-12-18
1,1,2005,"winter",2005-01-01
17,1,2005,"winter",2005-01-17
2,2,2005,"winter",2005-02-02
18,2,2005,"winter",2005-02-18
6,3,2005,"spring",2005-03-06
22,3,2005,"spring",2005-03-22
7,4,2005,"spring",2005-04-07
23,4,2005,"spring",2005-04-23
9,5,2005,"spring",2005-05-09
25,5,2005,"spring",2005-05-25
10,6,2005,"summer",2005-06-10
26,6,2005,"summer",2005-06-26
12,7,2005,"summer",2005-07-12
28,7,2005,"summer",2005-07-28
13,8,2005,"summer",2005-08-13
29,8,2005,"summer",2005-08-29
14,9,2005,"fall",2005-09-14
30,9,2005,"fall",2005-09-30
16,10,2005,"fall",2005-10-16
1,11,2005,"fall",2005-11-01
17,11,2005,"fall",2005-11-17
3,12,2005,"winter",2005-12-03
19,12,2005,"winter",2005-12-19
1,1,2006,"winter",2006-01-01
17,1,2006,"winter",2006-01-17
2,2,2006,"winter",2006-02-02
18,2,2006,"winter",2006-02-18
6,3,2006,"spring",2006-03-06
22,3,2006,"spring",2006-03-22
7,4,2006,"spring",2006-04-07
23,4,2006,"spring",2006-04-23
9,5,2006,"spring",2006-05-09
25,5,2006,"spring",2006-05-25
10,6,2006,"summer",2006-06-10
26,6,2006,"summer",2006-06-26
12,7,2006,"summer",2006-07-12
28,7,2006,"summer",2006-07-28
13,8,2006,"summer",2006-08-13
29,8,2006,"summer",2006-08-29
14,9,2006,"fall",2006-09-14
30,9,2006,"fall",2006-09-30
16,10,2006,"fall",2006-10-16
1,11,2006,"fall",2006-11-01
17,11,2006,"fall",2006-11-17
3,12,2006,"winter",2006-12-03
19,12,2006,"winter",2006-12-19
1,1,2007,"winter",2007-01-01
17,1,2007,"winter",2007-01-17
2,2,2007,"winter",2007-02-02
18,2,2007,"winter",2007-02-18
6,3,2007,"spring",2007-03-06
22,3,2007,"spring",2007-03-22
7,4,2007,"spring",2007-04-07
23,4,2007,"spring",2007-04-23
9,5,2007,"spring",2007-05-09
25,5,2007,"spring",2007-05-25
10,6,2007,"summer",2007-06-10
26,6,2007,"summer",2007-06-26
12,7,2007,"summer",2007-07-12
28,7,2007,"summer",2007-07-28
13,8,2007,"summer",2007-08-13
29,8,2007,"summer",2007-08-29
14,9,2007,"fall",2007-09-14
30,9,2007,"fall",2007-09-30
16,10,2007,"fall",2007-10-16
1,11,2007,"fall",2007-11-01
17,11,2007,"fall",2007-11-17
3,12,2007,"winter",2007-12-03
19,12,2007,"winter",2007-12-19
1,1,2008,"winter",2008-01-01
17,1,2008,"winter",2008-01-17
2,2,2008,"winter",2008-02-02
18,2,2008,"winter",2008-02-18
5,3,2008,"spring",2008-03-05
21,3,2008,"spring",2008-03-21
6,4,2008,"spring",2008-04-06
22,4,2008,"spring",2008-04-22
8,5,2008,"spring",2008-05-08
24,5,2008,"spring",2008-05-24
9,6,2008,"summer",2008-06-09
25,6,2008,"summer",2008-06-25
11,7,2008,"summer",2008-07-11
27,7,2008,"summer",2008-07-27
12,8,2008,"summer",2008-08-12
28,8,2008,"summer",2008-08-28
13,9,2008,"fall",2008-09-13
29,9,2008,"fall",2008-09-29
15,10,2008,"fall",2008-10-15
31,10,2008,"fall",2008-10-31
16,11,2008,"fall",2008-11-16
2,12,2008,"winter",2008-12-02
18,12,2008,"winter",2008-12-18
1,1,2009,"winter",2009-01-01
17,1,2009,"winter",2009-01-17
2,2,2009,"winter",2009-02-02
18,2,2009,"winter",2009-02-18
6,3,2009,"spring",2009-03-06
22,3,2009,"spring",2009-03-22
7,4,2009,"spring",2009-04-07
23,4,2009,"spring",2009-04-23
9,5,2009,"spring",2009-05-09
25,5,2009,"spring",2009-05-25
10,6,2009,"summer",2009-06-10
26,6,2009,"summer",2009-06-26
12,7,2009,"summer",2009-07-12
28,7,2009,"summer",2009-07-28
13,8,2009,"summer",2009-08-13
29,8,2009,"summer",2009-08-29
14,9,2009,"fall",2009-09-14
30,9,2009,"fall",2009-09-30
16,10,2009,"fall",2009-10-16
1,11,2009,"fall",2009-11-01
17,11,2009,"fall",2009-11-17
3,12,2009,"winter",2009-12-03
19,12,2009,"winter",2009-12-19
1,1,2010,"winter",2010-01-01
17,1,2010,"winter",2010-01-17
2,2,2010,"winter",2010-02-02
18,2,2010,"winter",2010-02-18
6,3,2010,"spring",2010-03-06
22,3,2010,"spring",2010-03-22
7,4,2010,"spring",2010-04-07
23,4,2010,"spring",2010-04-23
9,5,2010,"spring",2010-05-09
25,5,2010,"spring",2010-05-25
10,6,2010,"summer",2010-06-10
26,6,2010,"summer",2010-06-26
12,7,2010,"summer",2010-07-12
28,7,2010,"summer",2010-07-28
13,8,2010,"summer",2010-08-13
29,8,2010,"summer",2010-08-29
14,9,2010,"fall",2010-09-14
30,9,2010,"fall",2010-09-30
16,10,2010,"fall",2010-10-16
1,11,2010,"fall",2010-11-01
17,11,2010,"fall",2010-11-17
3,12,2010,"winter",2010-12-03
19,12,2010,"winter",2010-12-19
1,1,2011,"winter",2011-01-01
17,1,2011,"winter",2011-01-17
2,2,2011,"winter",2011-02-02
18,2,2011,"winter",2011-02-18
6,3,2011,"spring",2011-03-06
22,3,2011,"spring",2011-03-22
7,4,2011,"spring",2011-04-07
23,4,2011,"spring",2011-04-23
9,5,2011,"spring",2011-05-09
25,5,2011,"spring",2011-05-25
10,6,2011,"summer",2011-06-10
26,6,2011,"summer",2011-06-26
12,7,2011,"summer",2011-07-12
28,7,2011,"summer",2011-07-28
13,8,2011,"summer",2011-08-13
29,8,2011,"summer",2011-08-29
14,9,2011,"fall",2011-09-14
30,9,2011,"fall",2011-09-30
16,10,2011,"fall",2011-10-16
1,11,2011,"fall",2011-11-01
17,11,2011,"fall",2011-11-17
3,12,2011,"winter",2011-12-03
19,12,2011,"winter",2011-12-19
1,1,2012,"winter",2012-01-01
17,1,2012,"winter",2012-01-17
2,2,2012,"winter",2012-02-02
18,2,2012,"winter",2012-02-18
5,3,2012,"spring",2012-03-05
21,3,2012,"spring",2012-03-21
6,4,2012,"spring",2012-04-06
