num,altitude,sep,oct,nov,dec,jan,feb,mar,apr,may,name,x_utm,y_utm
244850,740,0.5,13,52,103,134,136,74,17,5.4,Jerusalem Saint Anne,711678.8023,3518303.23
245500,200,0.3,20,64,103,128,117,63,15,3.7,Zora,686224.4083,3515686.743
246550,360,0.3,19,59,99,128,116,67,17,3.9,Bet Jamal,687207.252,3511605.712
247211,955,1.4,18,58,113,139,131,76,19,6.6,Rosh Tzurim,701532.619,3505593.74
247412,930,0.7,16,56,109,139,129,80,19,5.8,Migdal Oz,703099.1189,3502324.37
247550,270,0.4,16,45,79,106,92,49,13,3.4,Bet Govrin,679557.3176,3499148.554
248360,780,0,6,23,48,65,56,33,7,1,Carmel,707565.7896,3479206.839
248397,450,0.4,10,34,58,76,62,43,11,2.6,Lahav,678074.4288,3473414.015
250151,110,0.4,16,48,75,102,83,42,9,1.6,Dorot,656399.4177,3486980.567
250250,180,0.1,14,45,70,96,80,43,9,2.1,Ruhama,662019.7288,3485993.5
250398,250,0.2,12,35,59,81,66,39,8,1.3,Bet Kama,667436.6843,3480201.686
250600,100,0.1,12,36,55,76,59,38,8,1.6,Shoval,666005.3207,3476772.553
251131,650,0.1,10,25,53,70,59,41,11,1.1,Yatir,693569.7389,3468823.315
251569,600,0.1,7,13,23,31,28,20,6,1.4,Arad,708062.1578,3459410.207
251599,330,0.5,10,21,41,55,44,30,8,2.5,Omer,676015.0264,3461370.738
251690,280,0.5,9,18,38,48,40,29,9,3.6,Beer Sheva,671364.1006,3458877.475
252506,290,0.1,4,10,19,31,18,16,4,0.8,Revivim,664217.9609,3436032.447
252730,310,0.1,4,7,18,26,18,14,3,0.8,Sde Hayil,663059.0938,3428908.768
253000,470,0.1,4,7,16,27,16,16,6,1.1,Sde Boker,671603.9854,3416576.323
255630,835,0.1,4,6,12,19,13,11,3,1.5,Mizpe Ramon,672266.454,3387985.411
310051,240,3.4,22,86,130,152,138,83,29,5.5,Maayan Baruh,743027.4707,3681023.933
310094,150,2.5,24,81,123,145,128,81,28,4.8,Dafna,745844.6184,3680282.954
310190,100,2.1,21,80,118,143,124,77,26,5.2,Hagoshrim,744671.9309,3678957.505
310551,75,1.6,20,64,99,121,103,65,21,4.4,Kfar Blum,743689.8914,3673333.792
310603,75,1.3,19,63,102,124,106,64,21,3.9,Neot Mordehai,741714.997,3672091.558
311204,180,1.3,20,54,92,117,95,55,17,4.6,Ayelet Hashahar,740332.3154,3656954.629
311250,100,0.9,16,51,87,114,93,55,17,4.7,Gadot,744851.595,3656148.974
311450,270,1.8,21,65,107,138,114,63,20,4.7,Mahanaim,740005.7008,3653445.974
311501,270,1.8,19,62,103,131,110,62,21,6.1,Kfar Hanasi,743047.8738,3651508.695
311650,0,1.9,15,57,101,123,105,63,20,3.4,Almagor,743194.4518,3644508.055
320099,-205,0.6,17,52,93,107,90,55,18,4,Genosar,736038.1418,3637454.944
320448,-200,0.5,13,45,79,90,84,46,16,4.3,Kineret,740049.0232,3622631.069
320350,-200,0.6,15,44,77,89,84,50,16,5.5,Haon,746020.4481,3624156.087
320502,-200,0.5,14,47,79,90,84,48,15,4.5,Dganya A,741363.6963,3621958.062
320801,-200,0.7,15,45,77,90,86,49,14,4.9,Bet Zera,741211.5215,3619653.705
320900,-190,0.7,15,45,75,89,83,48,16,4.2,Massada,743824.2372,3619107.714
321148,-200,0.3,13,44,77,90,85,48,15,5.3,Ashdot Yaakov,741778.0834,3616463.82
321250,-200,0,16,44,75,88,82,48,14,5.3,Gesher,739571.3441,3611915.681
321800,-180,0.2,12,37,55,65,59,36,11,5,Sde Eliyahu,736189.2856,3591635.582
321850,-220,0.2,13,33,53,64,56,35,11,4.7,Tirat Zvi,737522.4082,3590062.317
330370,-375,0.1,6,10,20,22,19,11,6,1.3,Kalya,733547.7554,3515345.019
337000,-390,0,5,3,10,7,7,7,3,0.5,Sdom,728245.6354,3435502.691
345005,80,0.4,2,2,6,5,4,5,2,0.4,Yotveta,700626.2988,3307818.515
347702,11,0,4,2,5,4,3,3,2,1,Eilat,689139.314,3270290.211
